,Media,Positive score,Neutral score,Negative score,Compound score,Date Created,Tweets Ago
50,BBC,0.0,1.0,0.0,0.0,2018-08-25 11:07:04+00:00,-50
51,BBC,0.0,1.0,0.0,0.0,2018-08-25 09:45:20+00:00,-51
52,BBC,0.0,1.0,0.0,0.0,2018-08-25 09:00:19+00:00,-52
53,BBC,0.0,1.0,0.0,0.0,2018-08-25 08:00:06+00:00,-53
54,BBC,0.0,1.0,0.0,0.0,2018-08-24 20:03:07+00:00,-54
55,BBC,0.0,1.0,0.0,0.0,2018-08-24 18:02:07+00:00,-55
56,BBC,0.126,0.874,0.0,0.3182,2018-08-24 15:59:00+00:00,-56
57,BBC,0.256,0.744,0.0,0.784,2018-08-24 14:58:04+00:00,-57
58,BBC,0.0,1.0,0.0,0.0,2018-08-24 14:22:04+00:00,-58
59,BBC,0.0,1.0,0.0,0.0,2018-08-24 13:07:53+00:00,-59
60,BBC,0.074,0.926,0.0,0.0516,2018-08-24 12:01:06+00:00,-60
61,BBC,0.0,1.0,0.0,0.0,2018-08-24 11:00:12+00:00,-61
62,BBC,0.0,1.0,0.0,0.0,2018-08-24 08:43:01+00:00,-62
63,BBC,0.0,0.862,0.138,-0.4939,2018-08-24 08:00:15+00:00,-63
64,BBC,0.0,1.0,0.0,0.0,2018-08-24 07:27:06+00:00,-64
65,BBC,0.0,1.0,0.0,0.0,2018-08-24 07:00:10+00:00,-65
66,BBC,0.0,1.0,0.0,0.0,2018-08-23 19:00:22+00:00,-66
67,BBC,0.167,0.833,0.0,0.5859,2018-08-23 18:02:06+00:00,-67
68,BBC,0.0,1.0,0.0,0.0,2018-08-23 17:31:00+00:00,-68
69,BBC,0.279,0.721,0.0,0.7345,2018-08-23 16:01:05+00:00,-69
70,BBC,0.0,1.0,0.0,0.0,2018-08-23 16:00:00+00:00,-70
71,BBC,0.0,0.858,0.142,-0.5106,2018-08-23 15:55:24+00:00,-71
72,BBC,0.0,1.0,0.0,0.0,2018-08-23 15:49:59+00:00,-72
73,BBC,0.0,1.0,0.0,0.0,2018-08-23 14:27:01+00:00,-73
74,BBC,0.0,1.0,0.0,0.0,2018-08-23 13:08:17+00:00,-74
75,BBC,0.0,0.823,0.177,-0.4215,2018-08-23 13:00:22+00:00,-75
76,BBC,0.327,0.673,0.0,0.4445,2018-08-23 12:03:06+00:00,-76
77,BBC,0.0,0.889,0.111,-0.3612,2018-08-23 11:00:19+00:00,-77
78,BBC,0.188,0.717,0.096,0.4019,2018-08-23 09:56:02+00:00,-78
79,BBC,0.0,1.0,0.0,0.0,2018-08-23 09:15:16+00:00,-79
80,BBC,0.147,0.772,0.081,0.4199,2018-08-23 09:09:35+00:00,-80
81,BBC,0.213,0.787,0.0,0.6597,2018-08-23 08:55:54+00:00,-81
82,BBC,0.276,0.724,0.0,0.6369,2018-08-23 08:00:08+00:00,-82
83,BBC,0.126,0.874,0.0,0.3182,2018-08-23 07:25:03+00:00,-83
84,BBC,0.0,1.0,0.0,0.0,2018-08-23 07:00:06+00:00,-84
85,BBC,0.091,0.909,0.0,0.2263,2018-08-22 18:01:04+00:00,-85
86,BBC,0.0,0.677,0.323,-0.6486,2018-08-22 17:03:05+00:00,-86
87,BBC,0.0,1.0,0.0,0.0,2018-08-22 16:03:06+00:00,-87
88,BBC,0.0,0.806,0.194,-0.5859,2018-08-22 16:01:01+00:00,-88
89,BBC,0.0,0.868,0.132,-0.4939,2018-08-22 14:08:06+00:00,-89
90,BBC,0.13,0.87,0.0,0.5093,2018-08-22 13:32:04+00:00,-90
91,BBC,0.213,0.662,0.125,0.34,2018-08-22 13:13:18+00:00,-91
92,BBC,0.0,1.0,0.0,0.0,2018-08-22 13:00:24+00:00,-92
93,BBC,0.0,1.0,0.0,0.0,2018-08-22 12:15:45+00:00,-93
94,BBC,0.0,0.828,0.172,-0.4019,2018-08-22 12:02:05+00:00,-94
95,BBC,0.0,1.0,0.0,0.0,2018-08-22 11:30:59+00:00,-95
96,BBC,0.0,0.943,0.057,-0.0382,2018-08-22 11:01:06+00:00,-96
97,BBC,0.0,1.0,0.0,0.0,2018-08-22 10:53:23+00:00,-97
98,BBC,0.0,1.0,0.0,0.0,2018-08-22 08:00:09+00:00,-98
99,BBC,0.185,0.7,0.115,0.1779,2018-08-22 07:28:08+00:00,-99
0,nytimes,0.0,1.0,0.0,0.0,2018-08-29 04:47:06+00:00,0
